"","PortID","PortName","State","PortNameTiCase","County_GEOID","CountyName"
"262","0000","COUNTY TOTAL"," ME","County Total","23009","Hancock"
"263","0000","COUNTY TOTAL"," TX","County Total","48199","Hardin"
"264","0000","COUNTY TOTAL"," MS","County Total","28047","Harrison"
"265","0000","COUNTY TOTAL"," CT","County Total","09003","Hartford"
"266","0000","COUNTY TOTAL"," HI","County Total","15001","Hawaii"
"267","0000","COUNTY TOTAL"," MN","County Total","27054","Hennepin"
"268","0000","COUNTY TOTAL"," FL","County Total","12057","Hillsborough"
"269","0000","COUNTY TOTAL"," HI","County Total","15003","Honolulu"
"270","0000","COUNTY TOTAL"," AK","County Total","02105","Hoonah-Angoon"
"271","0000","COUNTY TOTAL"," CA","County Total","06023","Humboldt"
"272","0000","COUNTY TOTAL"," MS","County Total","28059","Jackson"
"273","0000","COUNTY TOTAL"," AL","County Total","01073","Jefferson"
"274","0000","COUNTY TOTAL"," NY","County Total","36045","Jefferson"
"275","0000","COUNTY TOTAL"," WA","County Total","53031","Jefferson"
"276","0000","COUNTY TOTAL"," MI","County Total","26081","Kent"
"277","0000","COUNTY TOTAL"," AK","County Total","02130","Ketchikan Gateway"
"278","0000","COUNTY TOTAL"," WA","County Total","53035","Kitsap"
"279","0000","COUNTY TOTAL"," MN","County Total","27071","Koochiching"
"280","0000","COUNTY TOTAL"," OR","County Total","41041","Lincoln"
"281","0000","COUNTY TOTAL"," OH","County Total","39093","Lorain"
"282","0000","COUNTY TOTAL"," CA","County Total","06037","Los Angeles"
"283","0000","COUNTY TOTAL"," MS","County Total","22065","Madison"
"284","0000","COUNTY TOTAL"," FL","County Total","12081","Manatee"
"285","0000","COUNTY TOTAL"," WI","County Total","55075","Marinette"
"286","0000","COUNTY TOTAL"," MI","County Total","26103","Marquette"
"287","0000","COUNTY TOTAL"," AK","County Total","02170","Matanuska-Susitna"
"288","0000","COUNTY TOTAL"," HI","County Total","15009","Maui"
"289","0000","COUNTY TOTAL"," FL","County Total","12086","Miami-Dade"
"290","0000","COUNTY TOTAL"," FL","County Total","12087","Monroe"
"291","0000","COUNTY TOTAL"," NY","County Total","36055","Monroe"
"292","0000","COUNTY TOTAL"," CA","County Total","06053","Monterey"
"293","0000","COUNTY TOTAL"," OH","County Total","39113","Montgomery"
"294","0000","COUNTY TOTAL"," TX","County Total","48339","Montgomery"
"295","0000","COUNTY TOTAL"," AL","County Total","01103","Morgan"
"296","0000","COUNTY TOTAL"," FL","County Total","12089","Nassau"
"297","0000","COUNTY TOTAL"," NC","County Total","37129","New Hanover"
"298","0000","COUNTY TOTAL"," CT","County Total","09009","New Haven"
"299","0000","COUNTY TOTAL"," CT","County Total","09011","New London"
"300","0000","COUNTY TOTAL"," MA","County Total","44005","Newport"
"301","0000","COUNTY TOTAL"," RI","County Total","44005","Newport"
