"State","Nmfsname"
"Georgia","Shrimp, Marine"
"Georgia","Shrimp, Northern Brown"
"Georgia","Crab, Blue"
"Georgia","Shrimp, Northern White"
"Hawaii","All Species"
"Hawaii","Shrimps, Penaeoid"
"Hawaii","Tunas"
"Hawaii","Tuna, Bluefin Pacific"
"Hawaii","Lobster, Banded Spiny"
"Hawaii","Crustaceans"
"Hawaii","Spearfishes"
"Hawaii","Snappers, Lutjanidae"
"Hawaii","Sharks, Chondrichthyes"
"Hawaii","Snapper, Red"
"Hawaii","Tuna, Skipjack"
"Hawaii","Tuna, Albacore"
"Hawaii","Vertebrates, Jawed"
"Hawaii","Tuna, Yellowfin"
"Hawaii","Swordfish"
"Hawaii","Tuna, Bigeye"
"Illinois","Chubs"
"Louisiana","All Species"
"Louisiana","Parrotfishes"
"Louisiana","Eel, Conger"
"Louisiana","Tilefish, Sand"
"Louisiana","Pompano, African"
"Louisiana","Jack, Horse-Eye"
"Louisiana","Jack, Black"
"Louisiana","Scorpionfish, Spotted"
"Louisiana","Scorpionfishes"
"Louisiana","Squirrelfishes"
"Louisiana","Snapper, Blackfin"
"Louisiana","Snapper, Mutton"
"Louisiana","Porgy, Knobbed"
"Louisiana","Catfishes, Sea"
"Louisiana","Hind, Rock"
"Louisiana","Tilefish, Blueline"
"Louisiana","Runner, Rainbow"
"Louisiana","Rudderfish"
"Louisiana","Shrimp, Fw"
"Louisiana","Shrimp, Marine"
"Louisiana","Snapper, Yellowtail"
"Louisiana","Barracudas, Sphyraenidae"
"Louisiana","Spot"
"Louisiana","Squids, Loliginidae"
"Louisiana","Snapper, Cubera"
"Louisiana","Wenchman"
"Louisiana","Bonito, Atlantic"
"Louisiana","Grunts, Haemulidae"
"Louisiana","Shrimps, Rock"
"Louisiana","Hind, Speckled"
"Louisiana","Bass, Longtail"
"Louisiana","Sharks, Chondrichthyes"
"Louisiana","Reptiles"
"Louisiana","Bigeye"
"Louisiana","Bluefish"
"Louisiana","Turtle, Sliders"
"Louisiana","Brotula, Bearded"
"Louisiana","Hind, Red"
"Louisiana","Porgy, Whitebone"
"Louisiana","Scorpionfish, Spinycheek"
"Louisiana","Tripletail"
"Louisiana","Vertebrates, Jawed"
"Louisiana","Crustaceans"
"Louisiana","Creole-Fish"
"Louisiana","Grouper, Marbled"
"Louisiana","Vertebrates, Jawed"
"Louisiana","Shark, Mako, Longfin"
"Louisiana","Mackerel, Spanish"
"Louisiana","Carp, Common"
"Louisiana","Carp, Grass"
"Louisiana","Turtle, Soft-Shell"
"Louisiana","Tuna, Little Tunny"
"Louisiana","Shark, Mako, Shortfin"
"Louisiana","Tuna, Albacore"
"Louisiana","Jack, Bar"
"Louisiana","Tuna, Blackfin"
"Louisiana","Tilefish, Goldface"
"Louisiana","Porgy, Red"
"Louisiana","Spadefish"
"Louisiana","Croaker, Atlantic"
"Louisiana","Snapper, Queen"
"Louisiana","Grouper, Yellowfin"
"Louisiana","Hakes, Red And White"
"Louisiana","Amberjack, Lesser"
"Louisiana","Driftfish, Black"
"Louisiana","Snapper, Silk"
"Louisiana","Jack, Almaco"
"Louisiana","Catfishes, Bullhead"
"Louisiana","Grouper, Snowy"
"Louisiana","Snapper, Gray"
"Louisiana","Runner, Blue"
"Louisiana","Snapper, Lane"
"Louisiana","Grouper, Black"
"Louisiana","Kingfishes"
"Louisiana","Turtles, Snapping"
"Louisiana","Oilfish"
"Louisiana","Seatrout, Sand"
"Louisiana","Drum, Freshwater"
"Louisiana","Shad, Gizzard"
"Louisiana","Seatrout, Spotted"
"Louisiana","Tilefish, Golden"
"Louisiana","Grouper, Gag"
"Louisiana","Catfish, Flathead"
"Louisiana","Cobia"
"Louisiana","Snapper, Black"
"Louisiana","Dolphinfish"
"Louisiana","Triggerfish, Gray"
"Louisiana","Bowfin"
"Louisiana","Crab, Florida Stone"
"Louisiana","Escolar"
"Louisiana","Wahoo"
"Louisiana","Herrings"
"Louisiana","Grouper, Warsaw"
"Louisiana","Scamp"
"Louisiana","Minnows"
