"","PortID","PortName","ExpTotValue","ExpContainerValue","ExpContainerWeight","time","Year","State","PortNameTiCase","County_GEOID","CountyName","ImpContainerValue","ImpContainerWt","TotPortWt","TotPortContainerVal","TotPortVal","rnkTotValue","rnkTotPortWt","rnkExpValue","rnkExpContainerWt","rnkImpContainerVal","rnkImpContainerWt"
"128","1511","BEAUFORT-MOREHEAD CITY, NC",377178622,417888,41336,"2019-12","2019"," NC","Beaufort-Morehead Cty","37031","Carteret",110719643,106282479,106323815,111137531,487898265,82,54,104,86,42,47
"129","1511","BEAUFORT-MOREHEAD CITY, NC",200609207,0,0,"2020-12","2020"," NC","Beaufort-Morehead Cty","37031","Carteret",79933981,60601966,60601966,79933981,280543188,82,54,104,86,42,47
"130","1511","BEAUFORT-MOREHEAD CITY, NC",151117146,20000,20000,"2021-12","2021"," NC","Beaufort-Morehead Cty","37031","Carteret",129576978,82640718,82660718,129596978,280694124,82,54,104,86,42,47
"131","2104","BEAUMONT, TX",6382386586,129330555,105715251,"2013-12","2013"," TX","Beaumont","48199","Hardin",352685522,532481385,638196636,482016077,6735072108,28,38,42,32,50,37
"132","2104","BEAUMONT, TX",6510040132,95315764,92496696,"2014-12","2014"," TX","Beaumont","48199","Hardin",228959318,320597688,413094384,324275082,6738999450,28,38,42,32,50,37
"133","2104","BEAUMONT, TX",5875750546,27674438,24551888,"2015-12","2015"," TX","Beaumont","48199","Hardin",139520586,324249300,348801188,167195024,6015271132,28,38,42,32,50,37
"134","2104","BEAUMONT, TX",5569460885,23268861,14516498,"2016-12","2016"," TX","Beaumont","48199","Hardin",97590142,158109602,172626100,120859003,5667051027,28,38,42,32,50,37
"135","2104","BEAUMONT, TX",11123310891,15566493,10371253,"2017-12","2017"," TX","Beaumont","48199","Hardin",50601906,136596254,146967507,66168399,11173912797,28,38,42,32,50,37
"136","2104","BEAUMONT, TX",16241962524,418718851,553213955,"2018-12","2018"," TX","Beaumont","48199","Hardin",41671416,134875384,688089339,460390267,16283633940,28,38,42,32,50,37
"137","2104","BEAUMONT, TX",19571865924,311050996,736725479,"2019-12","2019"," TX","Beaumont","48199","Hardin",23180153,62623385,799348864,334231149,19595046077,28,38,42,32,50,37
"138","2104","BEAUMONT, TX",9579676716,182182839,416169660,"2020-12","2020"," TX","Beaumont","48199","Hardin",5945083,21123149,437292809,188127922,9585621799,28,38,42,32,50,37
"139","2104","BEAUMONT, TX",16269497237,48490106,61536209,"2021-12","2021"," TX","Beaumont","48199","Hardin",41515405,35651617,97187826,90005511,16311012642,28,38,42,32,50,37
"140","0132","BELFAST, ME",181350,0,0,"2013-12","2013"," ME","Belfast","23027","Waldo",3960065,471025,471025,3960065,4141415,167,127,135,125,101,108
"141","0132","BELFAST, ME",50001,0,0,"2014-12","2014"," ME","Belfast","23027","Waldo",0,0,0,0,50001,167,127,135,125,101,108
"142","0132","BELFAST, ME",152541,50155,9890,"2015-12","2015"," ME","Belfast","23027","Waldo",0,0,9890,50155,152541,167,127,135,125,101,108
"143","0132","BELFAST, ME",613945,110091,112281,"2016-12","2016"," ME","Belfast","23027","Waldo",3118283,140000,252281,3228374,3732228,167,127,135,125,101,108
"144","0132","BELFAST, ME",958984,40695,11887,"2017-12","2017"," ME","Belfast","23027","Waldo",0,0,11887,40695,958984,167,127,135,125,101,108
"145","0132","BELFAST, ME",43842,0,0,"2018-12","2018"," ME","Belfast","23027","Waldo",0,0,0,0,43842,167,127,135,125,101,108
"146","0132","BELFAST, ME",81515,0,0,"2019-12","2019"," ME","Belfast","23027","Waldo",0,0,0,0,81515,167,127,135,125,101,108
"147","3005","BELLINGHAM, WA",517474796,5780187,2537934,"2013-12","2013"," WA","Bellingham","53073","Whatcom",1426668,103838,2641772,7206855,518901464,71,86,64,69,84,93
"148","3005","BELLINGHAM, WA",1000379767,56910918,23244510,"2014-12","2014"," WA","Bellingham","53073","Whatcom",1707498,699326,23943836,58618416,1002087265,71,86,64,69,84,93
"149","3005","BELLINGHAM, WA",496890801,28987160,11272214,"2015-12","2015"," WA","Bellingham","53073","Whatcom",442087,32388,11304602,29429247,497332888,71,86,64,69,84,93
